Time [s],SOC [%],I[A]
0,0.63163483978886,0.000306822596525951
1.00501640889979,0.631646164917691,0.00190290641206227
2.00821542339963,0.630583366065122,-0.00598849994718822
3.0181369878801,0.630438676851046,0.0013070864417541
4.02316802525002,0.632331970545186,0.00588099793054011
5.02733482825988,0.630888724744249,-0.00101916966136451
6.03626589161013,0.63227121076612,0.00245114205269334
7.04129153955,0.631646602678951,-0.0096600691741665
8.0463791659804,0.631790713457645,-0.00484091305845306
9.04939686449961,0.63066047500342,-0.00456415279952035
10.0517070072201,0.630477142526206,0.0032284503544395
11.0615323317897,0.629614531110615,-0.00491359439103928
12.0655871115496,0.631117072688945,0.00554038136593724
13.06864176619,0.630446520520713,-0.00498162150990603
14.0727046300999,0.632241087139282,0.00412450251506472
15.0808303579097,0.62899935276492,-0.485710054015943
16.0869523708698,0.628929605315435,-0.483875712680995
17.0948344192402,0.628249066724556,-0.494195491814281
18.0980615357903,0.628436301577165,-0.478250065222059
19.1039360197101,0.626077168435724,-0.482154861157152
20.1069798954795,0.625625886206133,-0.483918973183394
21.1152542177097,0.623997246659134,-0.477308437197413
22.11711280279,0.623662759149592,-0.482547834972491
23.1221892654003,0.620421051965006,-0.474212202060282
24.1231893905097,0.622381129593388,-0.48357877485614
25.1272407056304,0.620650016373971,-0.476871171608257
26.1362957259798,0.620989815698786,-0.474088082505467
27.1364793517196,0.618735900780631,-0.481516815507022
28.1414026004004,0.617186302270347,-0.477351390775617
29.1495802977597,0.617427609084243,-0.485893670329746
30.1584489976603,0.616429978578355,-0.474195542513648
31.1645390589601,0.614982578615632,-0.483198983893952
32.1676141164698,0.61321898076446,-0.471807716366976
33.1686388789904,0.613633483897827,-0.486312895763327
34.1756451442097,0.612135104281311,-0.469677780022332
35.1806923498898,0.611941553218434,-0.483072272785501
36.1858511938499,0.609029853854426,-0.479770921984792
37.1908468149404,0.609564111298607,-0.482837653271503
38.1959005649196,0.605653863133858,-0.482397292119867
39.2039435264196,0.607266793228385,-0.485701729866432
40.2121539453501,0.605809907370083,-0.478936005671757
41.2160655201196,0.605457876287284,-0.487701026547345
42.2191505865803,0.60392832634908,-0.47634974271622
43.2241719999602,0.601848431678654,-0.964590839272927
44.2301989278803,0.59890752268963,-0.968903917025127
45.2323346839003,0.597624866412652,-0.964832240670023
46.2382599824796,0.596976654406982,-0.955833998375019
47.2393274755295,0.595752592812713,-0.967340732700132
48.2442272416602,0.593315327389613,-0.962601824376284
49.2484463991796,0.589856637660867,-0.965665741874776
50.2544956547599,0.589502313363156,-0.95457783107122
51.2603123947301,0.58750806178841,-0.948094103027784
52.2645935307501,0.58502560930006,-0.964671841975314
53.2666546045903,0.581974646294556,-0.959065979550068
54.2667054192598,0.579837952081732,-0.958169768002913
55.27070053028,0.581538365889397,0.490187144484748
56.2777452914597,0.582351005414567,0.481467290320665
57.2818628196301,0.584794025495542,0.485879415597688
58.2878512515999,0.585314986456749,0.487815640767313
59.2919456821901,0.586245921439344,0.475226925111953
60.2959492623204,0.585459672418532,0.47502906782132
61.3030117316403,0.588069577302831,0.47855803183661
62.3090463587596,0.590089874890245,0.473667720193126
63.3091626165697,0.587616144327572,-0.00130467247922567
64.3153831791797,0.586359434227294,-0.00679349521705863
65.3182615223195,0.589881850489328,-0.00534859638456013
66.3182676816696,0.588264995789658,-0.00216584083672587
67.3202987286695,0.588796774917289,0.00825501403845661
68.3273488792802,0.58768398031779,-0.00362560428825447
69.3325612326398,0.590202415230602,-0.000581856313033068
70.3384884560201,0.588850433401457,0.00146163799759865
71.3455747928401,0.587606607576137,0.00452488232082497
72.35275159517,0.58748984481536,-0.00170170141308086
73.3616641804701,0.588802651544448,0.00361578154956333
74.3667240898103,0.5898790519336,0.0101780929853271
75.3707850289202,0.587235218529887,-0.00386080440229713
76.3738050371903,0.59112718878074,-0.000697242920917094
77.3778459584,0.589133845783768,0.00755748483080345
78.38105960137,0.586417088612867,0.00424402315948677
79.3829462884996,0.587616586293799,-0.472481552824477
80.38599324395,0.58607446011883,-0.493055576231507
81.3961735012999,0.585481118598576,-0.468853037918152
82.3991415400296,0.584542403502067,-0.478103501801342
83.40337186137,0.584456885590542,-0.474230177338253
84.4073246268299,0.584935589019149,-0.483706715440241
85.4154234074704,0.58114682406683,-0.482388018629908
86.4198396643096,0.580270725241097,-0.481999346454576
87.4224000307904,0.579737563592902,-0.481854264708419
88.4313953824103,0.57875103411464,-0.481251002600979
89.4366851126397,0.578278265370154,-0.480161320066596
90.4424953082998,0.575399237768739,-0.484363228091329
91.4475671513901,0.575708814627782,-0.482932938060459
92.4535821455702,0.574783913734054,-0.483081310735496
93.4597053134003,0.57517727695973,-0.482261988813976
94.4657364758796,0.572677202503384,-0.480908314694179
95.4757615945,0.573483404773897,-0.476536555393014
96.4827747889904,0.572339732258224,-0.483686826872105
97.4858552359301,0.569832098428099,-0.48514355631974
98.4889095056096,0.567000305820733,-0.486105245239283
99.4919479919499,0.569604576064562,-0.480463403673466
100.49394862713,0.568055793182976,-0.488806662441836
101.50004715755,0.567044863216849,-0.477969316173942
102.50209937732,0.566712373416112,-0.478842141616321
103.50911834621,0.563684097601598,-0.963699886346522
104.51528424456,0.561871160667023,-0.962598917077703
105.51662082439,0.558875755991489,-0.954424262101337
106.52031451201,0.556643809212797,-0.967832324023626
107.52635106393,0.555391026597613,-0.957609091661545
108.53265593271,0.552489584612696,-0.968119733920857
109.53840876938,0.550930250569706,-0.962556640348821
110.54550434523,0.551675649449742,-0.966576675224114
111.54656991348,0.548065410201834,-0.966384209032975
